i,j,nx,ny,nz
61,1,0.550613806256058,-0.5046114693813366,0.6649749629339624
62,1,0.5076927102868011,-0.5076927102868011,0.6960576296854194
63,1,0.29303632199074886,-0.5528963268388086,0.7800226700309982
0,2,-0.29081843315360123,-0.5996325252110206,0.7455638628897857
1,2,-0.5046114693813366,-0.550613806256058,0.6649749629339623
2,2,-0.547029238268627,-0.547029238268627,0.6336544996750924
3,2,-0.5500256901128759,-0.5594425752106873,0.6200772091098731
4,2,-0.5463039388979103,-0.5747506135267131,0.6092731231519206
5,2,-0.541113038475583,-0.590642091146868,0.598613898733881
6,2,-0.5350080291743522,-0.6068297650520125,0.5878129336497241
7,2,-0.5279879155633439,-0.6232622175247434,0.576864775510877
8,2,-0.5200030343968143,-0.6399038948399189,0.5657913481017608
9,2,-0.5110009716843262,-0.6567153565838083,0.5546196420653311
10,2,-0.5009303571686012,-0.6736516648625079,0.543380356375632
11,2,-0.489741811982195,-0.6906620661389382,0.5321079476883325
12,2,-0.4773888299942272,-0.7076898041428344,0.5208407108790744
13,2,-0.4638287438806249,-0.7246720168024048,0.5096208045337796
14,2,-0.4490237753511598,-0.7415397328739853,0.4984942063239751
15,2,-0.43294215772197964,-0.7582179872542785,0.4875105864195228
16,2,-0.4155593135940391,-0.7746260739222786,0.47672308784556255
17,2,-0.3968590647414532,-0.7906779544213262,0.4661880040548515
18,2,-0.37683484538551293,-0.8062828376684628,0.4559643461769441
19,2,-0.35549088407210544,-0.8213459435111269,0.44611329549728707
20,2,-0.3328433136966591,-0.8357694577154987,0.43669754072741074
21,2,-0.3089211642096423,-0.8494536798931608,0.42778050448720417
22,2,-0.28376718862885253,-0.8622983582496453,0.41942546896635147
23,2,-0.2574384706882372,-0.8742041960567344,0.4116946166838964
24,2,-0.23000676233838732,-0.8850745046138887,0.4046480082257815
25,2,-0.20155850201233277,-0.8948169665287758,0.3983425243164284
26,2,-0.1721944707435113,-0.903345461964439,0.3928308040284218
27,2,-0.14202905348550846,-0.9105818998642667,0.38816021383649446
28,2,-0.11118908775255497,-0.9164579871348745,0.38437188318274396
29,2,-0.07981230096467375,-0.9209168626352523,0.3814998410599515
30,2,-0.048045360928828114,-0.92391452098612,0.3795702849331157
31,2,-0.016041589084467185,-0.9254209549240211,0.37860100846030215
32,2,0.016041589084467147,-0.9254209549240211,0.37860100846030215
33,2,0.04804536092882813,-0.9239145209861201,0.37957028493311573
34,2,0.07981230096467375,-0.9209168626352523,0.3814998410599515
35,2,0.11118908775255494,-0.9164579871348745,0.38437188318274396
36,2,0.14202905348550843,-0.9105818998642669,0.38816021383649446
37,2,0.17219447074351127,-0.903345461964439,0.39283080402842174
38,2,0.20155850201233275,-0.8948169665287758,0.3983425243164284
39,2,0.2300067623383874,-0.8850745046138888,0.4046480082257816
40,2,0.2574384706882372,-0.8742041960567345,0.4116946166838965
41,2,0.28376718862885253,-0.8622983582496453,0.41942546896635147
42,2,0.3089211642096423,-0.8494536798931607,0.4277805044872041
43,2,0.33284331369665915,-0.8357694577154987,0.4366975407274108
44,2,0.35549088407210533,-0.8213459435111269,0.44611329549728707
45,2,0.3768348453855128,-0.8062828376684628,0.4559643461769441
46,2,0.3968590647414532,-0.7906779544213263,0.46618800405485156
47,2,0.4155593135940391,-0.7746260739222786,0.47672308784556255
48,2,0.43294215772197964,-0.7582179872542786,0.4875105864195228
49,2,0.4490237753511597,-0.7415397328739853,0.4984942063239752
50,2,0.4638287438806249,-0.7246720168024048,0.5096208045337796
51,2,0.4773888299942274,-0.7076898041428344,0.5208407108790744
52,2,0.48974181198219513,-0.6906620661389381,0.5321079476883325
53,2,0.5009303571686012,-0.6736516648625079,0.543380356375632
54,2,0.5110009716843261,-0.6567153565838084,0.5546196420653311
55,2,0.5200030343968142,-0.6399038948399189,0.5657913481017607
56,2,0.5279879155633439,-0.6232622175247434,0.5768647755108769
57,2,0.5350080291743521,-0.6068297650520125,0.587812933649724
58,2,0.541113038475583,-0.590642091146868,0.598613898733881
59,2,0.5463039388979103,-0.5747506135267131,0.6092731231519206
60,2,0.5500256901128759,-0.5594425752106873,0.6200772091098731
61,2,0.547029238268627,-0.547029238268627,0.6336544996750924
62,2,0.5046114693813366,-0.550613806256058,0.6649749629339624
63,2,0.2908184331536013,-0.5996325252110206,0.7455638628897857
0,3,-0.2990514804870332,-0.6066633661546871,0.7365648458787438
1,3,-0.51641331558438,-0.5542511600007168,0.6527809273600198
2,3,-0.5594425752106873,-0.5500256901128759,0.6200772091098731
3,3,-0.5626667026925137,-0.5626667026925138,0.6056503639578436
4,3,-0.559110176596536,-0.5783555787871569,0.5940544040001413
5,3,-0.5540557876703369,-0.5946623163866614,0.582579534157056
6,3,-0.5480587497021062,-0.6112860280345728,0.5709299421160879
7,3,-0.5411148585764095,-0.628173442903358,0.5591000227676387
8,3,-0.5331709088674226,-0.6452878700871352,0.5471127366968301
9,3,-0.5241708963670558,-0.6625884680506446,0.5349966293427064
10,3,-0.5140598881577804,-0.6800285473550707,0.5227844739176585
11,3,-0.502785042353031,-0.6975552318921994,0.5105133687239549
12,3,-0.49029657045954694,-0.7151092622639142,0.49822486491539836
13,3,-0.4765487926869487,-0.7326248932775835,0.4859650336584115
14,3,-0.46150128342812075,-0.7500299031427762,0.473784454985424
15,3,-0.44512009190004337,-0.7672457351641434,0.4617381137174296
16,3,-0.4273790165011945,-0.7841877922389535,0.4498851884179649
17,3,-0.40826090483131167,-0.8007659027141882,0.4382887206358955
18,3,-0.38775894461579585,-0.8168849730348509,0.4270151539469005
