i,j,nx,ny,nz
50,53,0.6143628061435917,0.7139892071398498,0.33582399335839647
51,53,0.6277665995975471,0.6921529175049878,0.3561368209257037
52,53,0.6393762183235463,0.670565302144207,0.3762183235868892
53,53,0.649301623254016,0.649301623254016,0.3959984899963635
54,53,0.6576543660942199,0.628425283156699,0.41541834124967625
55,53,0.6645457758924963,0.6079886885824967,0.434429126900092
56,53,0.6700854700854235,0.5880341880341472,0.4529914529915751
57,53,0.6743801652892086,0.5685950413222739,0.47107438016540604
58,53,0.6775327580696224,0.5496963886225238,0.48865452221168076
59,53,0.679641643497016,0.5313561940067579,0.5057151683658774
60,53,0.6808002388772271,0.5135861451179081,0.5222454464020129
61,53,0.681096681096631,0.49639249639245986,0.5382395382396356
62,53,0.6806136680613164,0.4797768479776492,0.5536959553696884
63,53,0.6794284173631201,0.46373685629546285,0.5686168778647424
0,54,-0.6636818540952888,0.47405846721092054,0.5786146958125696
1,54,-0.6643071059079277,0.49006261911240556,0.5643887830112526
2,54,-0.6642274134533706,0.506614128905113,0.5496763298621825
3,54,-0.6633692173406553,0.5237125400057803,0.5344777422171482
4,54,-0.6616541353382976,0.5413533834586071,0.5187969924813058
5,54,-0.6589990674541022,0.5595275101025396,0.5026422132422586
6,54,-0.6553164150336828,0.5782203662061906,0.48602634115012855
7,54,-0.6505144374377237,0.5974112180550525,0.4689678061733666
8,54,-0.6444977716831914,0.6170723345902897,0.4514912581420491
9,54,-0.6371681415928769,0.637168141592877,0.4336283185841984
10,54,-0.628425283156699,0.65765436609422,0.4154183412496763
11,54,-0.6181681115717651,0.6784771956275473,0.39690915944227945
12,54,-0.6062961523513024,0.6995724834822721,0.37815779246030706
13,54,-0.5927112535041685,0.7208650380456103,0.35923107729290094
14,54,-0.5773195876288317,0.7422680412370691,0.3402061855671655
15,54,-0.5600339414509649,0.7636826474331337,0.32117098005955835
16,54,-0.5407762756214267,0.7849978194504581,0.30222416048860934
17,54,-0.5194805194804921,0.8060904612628322,0.28347514554428294
18,54,-0.49609554432703035,0.8268259072117177,0.2650436380341688
19,54,-0.47058823529409494,0.8470588235293712,0.24705882352959418
20,54,-0.44294655753488593,0.8666345690899944,0.2296581608090463
21,54,-0.4131824889325944,0.8853910477127017,0.2129857353666459
22,54,-0.38133467134970866,0.9031610637229942,0.1971901655797252
23,54,-0.34747061829329295,0.9197751660704813,0.1824220746041868
24,54,-0.3116883116883007,0.9350649350649017,0.16883116883137358
25,54,-0.2741170268845454,0.9488666315234264,0.1565629942015788
26,54,-0.23491724506139147,0.9610250934329649,0.14575547250421572
27,54,-0.19427954668105205,0.9713977334052598,0.1365353480844015
28,54,-0.15242242787152535,0.9798584648883774,0.12901469787718914
29,54,-0.10958904109588738,0.9863013698629869,0.12328767123309438
30,54,-0.06604292790313541,0.9906439185470294,0.11942762795839129
31,54,-0.02206287920573572,0.9928295642581099,0.11748483177076526
32,54,0.02206287920573584,0.9928295642581098,0.11748483177076524
33,54,0.06604292790313532,0.9906439185470294,0.11942762795839129
34,54,0.10958904109588749,0.9863013698629869,0.12328767123309438
35,54,0.15242242787152546,0.9798584648883774,0.12901469787718914
